ticket_id,sprint,title,estimate_days,dependencies,priority,summary,acceptance
RL-S5-403,S5,"Resume sans rejeu effets resolus",1.5,"RL-S5-402",P0,"Restaurer execution et reutiliser resolutions persistees.","Resume au bon PC; aucun rejeu effet resolu."
RL-S5-404,S5,"Golden crash/resume harness",1.0,"RL-S5-403",P0,"Comparer run nominal vs run resume.","Scenarios golden passes; CI bloque divergences."
RL-S6-501,S6,"Failure envelope et invariants",1.5,"RL-S5-404",P0,"Implementer modele Failure canonique.","Invariants valides; serialisation stable."
RL-S6-502,S6,"Coordination and/or awaitables",1.5,"RL-S6-501",P0,"Implementer fail-fast/first-success/AllFailed lexical.","AllFailed ordonne lexicalement; and propage echec attendu."
RL-S6-503,S6,"Timers et signals durables",1.5,"RL-S5-403",P0,"Implementer timer et receive en awaitables durables.","Timeout pattern et receive+resume passent."
RL-S6-504,S6,"Activer policy RFC snapshots",0.5,"RL-S6-501",P0,"Bloquer changements schema sans RFC.","Checklist/CI active; RFC referencee pour changements schema."
RL-S7-601,S7,"Spawn et abstraction scheduler",1.5,"RL-S6-503",P0,"Lancer execution enfant avec parentId.","Child execution creee; identites correctes."
RL-S7-602,S7,"Wrapping FunctionFailed sur boundary spawn",1.0,"RL-S7-601",P0,"Mapper echec enfant vers wrapper parent.","spawn wrappe; inline ne wrappe pas."
RL-S7-603,S7,"Gate codeVersion/stateVersion au resume",1.0,"RL-S7-601",P0,"Refuser resume incompatible explicitement.","Resume incompatible refuse avec message clair."
RL-S7-604,S7,"Tests distribues multi-niveaux",1.5,"RL-S7-602|RL-S7-603",P0,"Valider causalite parent-child-grandchild et resume.","Chain causale complete; pas de rejeu d'effets resolus."
RL-S8-701,S8,"Framework action family generique",1.5,"RL-S7-604",P0,"Definir ActionExecutor et registry families.","Nouvelle famille injectable sans modification coeur."
RL-S8-702,S8,"HTTP family core API",1.5,"RL-S8-701",P0,"Implementer methods/options/output modes HTTP.","Appels HTTP basics fonctionnels; output modes valides."
RL-S8-703,S8,"HTTP errors, idempotency, cancellation",1.5,"RL-S8-702",P0,"Mapper erreurs et features exploitation.","Non-2xx mappe; idempotency stable; cancellation observee."
RL-S8-704,S8,"Observabilite attempts et MAJ conformite",1.0,"RL-S8-703",P1,"Capturer attempts et mettre a jour matrix.","Attempts visibles; requirements HTTP tracees."
RL-S9-801,S9,"Pipeline generation commun proto/openapi",1.5,"RL-S8-704",P0,"Creer IR et generation stubs ReLang.","Generation reproductible; erreurs spec claires."
RL-S9-802,S9,"gRPC family et stubs generes",1.5,"RL-S9-801",P0,"Implementer unary/metadata/credentials.","gRPC success+error status passes."
RL-S9-803,S9,"OpenAPI family et stubs generes",1.5,"RL-S9-801",P0,"Implementer operationId->fn et mapping erreurs.","OpenAPI success+ApiError passes; spec invalide echoue proprement."
RL-S9-804,S9,"Integration build, cache hash, mode strict",1.0,"RL-S9-802|RL-S9-803",P1,"Brancher generation dans build CI.","Build deterministe; regeneration sur changement spec uniquement."
RL-S10-901,S10,"Shell family safe-first",1.5,"RL-S9-804",P0,"Implementer shell.run et shell.command.","Cas success/error/timeout/cancel couverts."
RL-S10-902,S10,"Container family run-to-completion",1.5,"RL-S10-901",P0,"Implementer container.run + options ressources.","Cas success/error/timeout/cancel couverts."
RL-S10-903,S10,"Instrumentation Truffle et observabilite",1.0,"RL-S10-902",P1,"Ajouter tags et correlation IDs.","Debug/instrumentation disponibles en runtime."
RL-S10-904,S10,"Hardening final et readiness report",1.5,"RL-S10-903",P0,"Executer endurance/chaos/conformance finale.","MUST v0.1 clotures; rapport go/no-go publie."
